parcel_ID,weight (kg),volume (m^3)
CL3#1012,446,0.735
CL3#1013,273.3,0.765
CL3#1014,276.7,0.661
CL3#1015,273.7,0.658
CL3#1016,215.3,0.299
CL3#1017,267.3,0.432
CL3#1018,174.7,0.995
CL3#1019,131,0.876
CL3#1020,250.1,0.853
CL3#1021,102.1,0.765
CL3#1022,281.8,0.503
CL3#1023,183.2,0.511
CL3#1024,175.7,0.615
CL3#1025,132.8,0.456
CL3#1026,168.1,0.714
CL3#1027,155.2,0.654
CL3#1028,227.3,0.59
CL3#1029,186.1,0.911
CL3#1030,331.5,0.255
CL3#1031,201.6,0.559
CL3#1032,268.6,0.758
CL3#1033,228.1,0.565
CL3#1034,52.1,0.53
CL3#1035,90.5,0.594
CL3#1036,304.8,0.627
CL3#1037,180,0.2
CL3#1038,191.3,0.595
CL3#1039,226.7,0.313
CL3#1040,277.6,0.899
CL3#1041,214.2,0.584
CL3#1042,185.4,0.774
CL3#1043,203.5,0.44
CL3#1044,278.4,0.843
CL3#1045,193,0.625
CL3#1046,294.8,0.444
CL3#1047,196.1,0.619
CL3#1048,185.8,0.856
CL3#1049,117.1,0.5
CL3#1050,179.6,0.765
CL3#1051,272,0.225
CL3#1052,185.6,0.808
CL3#1053,151,0.6
CL3#1054,116.1,0.516
CL3#1055,164.4,0.482
CL3#1056,131.3,0.847
CL3#1057,241.9,0.702
CL3#1058,266.4,0.66
CL3#1059,377.7,0.431
CL3#1060,187,0.706
CL3#1061,237,0.499
CL3#1062,107.6,0.701
CL3#1063,155.1,0.814
CL3#1064,202.3,0.417
CL3#1065,162.6,0.58
CL3#1066,208.1,0.562
CL3#1067,250.5,0.833
CL3#1068,321.3,0.802
CL3#1069,278.3,0.542
CL3#1070,133.8,0.406
CL3#1071,182.8,0.842
CL3#1072,144.6,0.46
CL3#1073,260,0.516
CL3#1074,413,0.67
CL3#1075,217,0.474
CL3#1076,219.8,0.455
CL3#1077,132.5,0.985
CL3#1078,309.5,0.582
CL3#1079,267.9,0.658
CL3#1080,284.9,0.675
CL3#1081,273.1,0.429
CL3#1082,222.6,0.655
CL3#1083,150.6,0.644
CL3#1084,238,0.757
CL3#1085,210.4,0.197
CL3#1086,241.3,0.567
CL3#1087,209.7,0.775
CL3#1088,202,0.962
CL3#1089,238.6,0.334
CL3#1090,185.5,0.631
CL3#1091,197.3,0.55
CL3#1092,340.9,0.499
CL3#1093,243,0.137
CL3#1094,196,0.597
CL3#1095,208.8,0.482
CL3#1096,78.6,0.723
CL3#1097,219.7,0.698
CL3#1098,119.5,0.479
CL3#1099,167.9,0.615
CL3#1100,210.9,0.777
CL3#1101,136.7,0.917
CL3#1102,119.9,0.862
CL3#1103,181.3,0.615
CL3#1104,226.9,0.817
CL3#1105,333.5,0.787
CL3#1106,239,0.344
CL3#1107,192.5,0.686
CL3#1108,227,0.682
CL3#1109,109,0.927
CL3#1110,187.3,0.679
CL3#1111,283.5,0.619
CL3#1112,182.1,0.866
CL3#1113,227.8,0.546
CL3#1114,215.9,0.403
CL3#1115,191.6,1.017
CL3#1116,117.1,0.597
CL3#1117,182.7,0.875
CL3#1118,222.4,0.889
CL3#1119,10.2,0.664
CL3#1120,204,0.824
CL3#1121,110.4,0.813
CL3#1122,116.2,0.893
CL3#1123,262.4,1.017
CL3#1124,264.2,0.561
CL3#1125,364.8,0.621
CL3#1126,137,0.522
CL3#1127,42.1,0.865
CL3#1128,214.5,0.554
CL3#1129,183.9,0.172
CL3#1130,208.9,0.708
CL3#1131,216.5,0.556
CL3#1132,103.1,0.738
CL3#1133,166.7,0.426
CL3#1134,145.2,0.457
CL3#1135,186.9,0.323
CL3#1136,165.3,0.453
CL3#1137,213.2,0.496
CL3#1138,191.2,0.58
CL3#1139,416.1,0.502
CL3#1140,148.5,0.494
CL3#1141,142.9,0.844
CL3#1142,229.2,1.023
CL3#1143,163.7,0.325
CL3#1144,154.2,0.651
CL3#1145,133,0.682
CL3#1146,215.1,0.779
CL3#1147,160.4,0.516
CL3#1148,62.8,0.63
CL3#1149,287.9,0.376
CL3#1150,239.2,0.375
CL3#1151,170.3,0.784
CL3#1152,48.9,0.621
CL3#1153,309.5,0.74
CL3#1154,165.8,0.636
CL3#1155,332,0.625
CL3#1156,129.9,0.519
CL3#1157,26.2,0.836
CL3#1158,236,0.453
CL3#1159,235.2,0.524
CL3#1160,133.1,0.696
CL3#1161,188.7,0.282
CL3#1162,294.9,0.197
CL3#1163,98.4,0.794
CL3#1164,258.3,0.792
CL3#1165,269.2,0.846
CL3#1166,253.5,0.638
CL3#1167,243.1,0.381
CL3#1168,157.8,0.559
CL3#1169,147.1,0.657
CL3#1170,124.9,0.496
CL3#1171,202.1,0.63
CL3#1172,189,0.977
CL3#1173,85.2,0.482
CL3#1174,119.1,0.739
CL3#1175,300.6,0.676
CL3#1176,170.4,0.439
CL3#1177,215.5,0.927
CL3#1178,205.3,0.519
CL3#1179,169,1.05
CL3#1180,132.9,0.899
CL3#1181,171.7,0.672
CL3#1182,172.7,0.33
CL3#1183,112.2,0.724
CL3#1184,339,0.665
CL3#1185,228.2,0.388
CL3#1186,273,0.817
CL3#1187,122.1,0.683
CL3#1188,184,0.565
CL3#1189,218.8,0.853
CL3#1190,264.4,0.922
CL3#1191,206,0.501
CL3#1192,214.7,0.66
CL3#1193,304.2,0.75
CL3#1194,127.9,0.716
CL3#1195,237,0.668
CL3#1196,169,0.727
CL3#1197,266,0.625
CL3#1198,252.2,0.578
CL3#1199,254.8,0.714
CL3#1200,194.1,0.784
CL3#1201,140.9,0.525
CL3#1202,194.9,0.707
CL3#1203,241.6,0.76
CL3#1204,109.1,0.658
CL3#1205,204.3,0.687
CL3#1206,65.9,0.606
CL3#1207,246.9,0.471
CL3#1208,194.7,0.427
CL3#1209,189.9,0.375
CL3#1210,217.7,0.761
CL3#1211,227.1,0.855
CL3#1212,325,0.466
CL3#1213,177.8,1.24
CL3#1214,270.7,0.534
CL3#1215,220.5,0.514
CL3#1216,134.6,0.429
CL3#1217,129,0.841
CL3#1218,245.2,0.636
CL3#1219,216.1,0.521
CL3#1220,157.7,0.584
CL3#1221,225.9,0.543
CL3#1222,274.9,0.741
CL3#1223,139.9,0.727
CL3#1224,49.7,0.505
CL3#1225,204,0.8
CL3#1226,232,0.56
CL3#1227,69.6,0.685
CL3#1228,237.5,0.829
CL3#1229,267.6,0.772
CL3#1230,113.1,0.756
CL3#1231,218,0.625
CL3#1232,142.3,0.58
CL3#1233,160.6,0.664
CL3#1234,71.5,0.569
CL3#1235,250.9,0.752
CL3#1236,230.2,0.938
CL3#1237,255,0.808
CL3#1238,194.7,0.45
CL3#1239,170.2,1.117
CL3#1240,137.3,0.964
CL3#1241,218.6,0.663
CL3#1242,272.7,0.423
CL3#1243,182.3,0.616
CL3#1244,155.8,1.022
CL3#1245,142.5,0.89
CL3#1246,197.1,0.427
CL3#1247,162.9,0.697
CL3#1248,192.1,0.708
CL3#1249,246.4,0.818
CL3#1250,220.3,0.51
